datetime,count
2011-01-20 00:00:00,14.2
2011-01-20 01:00:00,11.8
2011-01-20 02:00:00,8.0
2011-01-20 03:00:00,3.7
2011-01-20 04:00:00,2.3
2011-01-20 05:00:00,7.8
2011-01-20 06:00:00,37.8
2011-01-20 07:00:00,92.8
2011-01-20 08:00:00,240.2
2011-01-20 09:00:00,136.3
2011-01-20 10:00:00,74.0
2011-01-20 11:00:00,84.7
2011-01-20 12:00:00,83.6
2011-01-20 13:00:00,94.6
2011-01-20 14:00:00,93.2
2011-01-20 15:00:00,87.6
2011-01-20 16:00:00,108.1
2011-01-20 17:00:00,205.8
2011-01-20 18:00:00,174.7
2011-01-20 19:00:00,99.1
2011-01-20 20:00:00,71.8
2011-01-20 21:00:00,47.0
2011-01-20 22:00:00,43.1
2011-01-20 23:00:00,24.6
2011-01-21 00:00:00,8.3
2011-01-21 01:00:00,4.3
2011-01-21 02:00:00,3.0
2011-01-21 03:00:00,2.3
2011-01-21 04:00:00,1.5
2011-01-21 05:00:00,1.5
2011-01-21 06:00:00,37.1
2011-01-21 07:00:00,97.9
2011-01-21 08:00:00,212.9
2011-01-21 09:00:00,120.8
2011-01-21 10:00:00,50.6
2011-01-21 11:00:00,63.6
2011-01-21 12:00:00,65.4
2011-01-21 13:00:00,57.9
2011-01-21 14:00:00,56.4
2011-01-21 15:00:00,61.1
2011-01-21 16:00:00,83.2
2011-01-21 17:00:00,151.8
2011-01-21 18:00:00,148.3
2011-01-21 19:00:00,106.1
2011-01-21 20:00:00,65.7
2011-01-21 21:00:00,54.6
2011-01-21 22:00:00,31.1
2011-01-21 23:00:00,24.8
2011-01-22 00:00:00,25.7
2011-01-22 01:00:00,15.0
2011-01-22 02:00:00,14.2
2011-01-22 03:00:00,13.4
2011-01-22 04:00:00,2.4
2011-01-22 06:00:00,2.8
2011-01-22 07:00:00,8.7
2011-01-22 08:00:00,21.3
2011-01-22 09:00:00,28.03333333333334
2011-01-22 10:00:00,56.2
2011-01-22 11:00:00,60.3
2011-01-22 12:00:00,63.8
2011-01-22 13:00:00,74.8
2011-01-22 14:00:00,68.9
2011-01-22 15:00:00,70.0
2011-01-22 16:00:00,72.9
2011-01-22 17:00:00,95.4
2011-01-22 18:00:00,56.3
2011-01-22 19:00:00,45.0
2011-01-22 20:00:00,46.3
2011-01-22 21:00:00,36.0
2011-01-22 22:00:00,23.8
2011-01-22 23:00:00,15.7
2011-01-23 00:00:00,25.3
2011-01-23 01:00:00,20.2
2011-01-23 02:00:00,11.7
2011-01-23 03:00:00,9.5
2011-01-23 05:00:00,3.4
2011-01-23 06:00:00,4.0
2011-01-23 07:00:00,9.5
2011-01-23 08:00:00,17.6
2011-01-23 09:00:00,28.833333333333336
2011-01-23 10:00:00,58.0
2011-01-23 11:00:00,68.1
2011-01-23 12:00:00,66.1
2011-01-23 13:00:00,68.4
2011-01-23 14:00:00,72.1
2011-01-23 15:00:00,72.1
2011-01-23 16:00:00,74.5
2011-01-23 17:00:00,93.0
2011-01-23 18:00:00,84.7
2011-01-23 19:00:00,65.1
2011-01-23 20:00:00,34.9
2011-01-23 21:00:00,36.5
2011-01-23 22:00:00,17.3
2011-01-23 23:00:00,14.5
2011-01-24 00:00:00,10.9
2011-01-24 01:00:00,5.6
2011-01-24 03:00:00,2.4
2011-01-24 04:00:00,2.5
